time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
1.524909157317733e-004	2.645566e+001	4.022078e+000	-7.671110e-003	1.799905e+001	2.126282e-002	3.809736e-005
1.564909157316663e-004	2.645481e+001	4.463695e+000	-1.951968e-002	1.799905e+001	2.126195e-002	3.634417e-005
1.604909157315593e-004	2.645395e+001	4.870430e+000	-3.014176e-002	1.799904e+001	2.126098e-002	3.479840e-005
1.644909157314523e-004	2.645309e+001	5.218542e+000	-3.886992e-002	1.799904e+001	2.125984e-002	3.354696e-005
1.684909157313452e-004	2.645224e+001	5.494400e+000	-4.532745e-002	1.799903e+001	2.125850e-002	3.263206e-005
1.715608976684546e-004	2.645158e+001	5.651746e+000	-4.859835e-002	1.799903e+001	2.125731e-002	3.217253e-005
1.731896821732804e-004	2.645123e+001	5.709490e+000	-4.954680e-002	1.799903e+001	2.125661e-002	3.204004e-005
1.748201278362060e-004	2.645089e+001	5.746440e+000	-4.986715e-002	1.799902e+001	2.125585e-002	3.199564e-005
1.764331424440879e-004	2.645054e+001	5.763622e+000	-4.960778e-002	1.799902e+001	2.125504e-002	3.203234e-005
1.788323959877047e-004	2.645003e+001	5.751265e+000	-4.811583e-002	1.799902e+001	2.125372e-002	3.224235e-005
1.827171586081811e-004	2.644920e+001	5.655704e+000	-4.356236e-002	1.799901e+001	2.125138e-002	3.288612e-005
1.867171586080740e-004	2.644834e+001	5.468030e+000	-3.646890e-002	1.799899e+001	2.124870e-002	3.389798e-005
1.907171586079670e-004	2.644748e+001	5.189751e+000	-2.710475e-002	1.799898e+001	2.124577e-002	3.525057e-005
1.947171586078600e-004	2.644663e+001	4.834823e+000	-1.603750e-002	1.799897e+001	2.124261e-002	3.687336e-005
1.987171586077530e-004	2.644577e+001	4.423127e+000	-3.962563e-003	1.799896e+001	2.123929e-002	3.867279e-005
2.027171586076459e-004	2.644492e+001	3.979024e+000	8.361359e-003	1.799894e+001	2.123586e-002	4.053910e-005
2.067171586075389e-004	2.644406e+001	3.530166e+000	2.015991e-002	1.799893e+001	2.123242e-002	4.235267e-005
2.107171586074319e-004	2.644321e+001	3.105752e+000	3.069173e-002	1.799892e+001	2.122905e-002	4.399256e-005
2.147171586073249e-004	2.644235e+001	2.734373e+000	3.929508e-002	1.799890e+001	2.122583e-002	4.534602e-005
2.187171586072179e-004	2.644150e+001	2.434583e+000	4.562784e-002	1.799889e+001	2.122281e-002	4.634957e-005
2.216465969075987e-004	2.644087e+001	2.269520e+000	4.866287e-002	1.799888e+001	2.122075e-002	4.683247e-005
2.232961605452832e-004	2.644052e+001	2.204512e+000	4.959201e-002	1.799888e+001	2.121968e-002	4.698033e-005
2.248019779691468e-004	2.644020e+001	2.166205e+000	4.987552e-002	1.799887e+001	2.121875e-002	4.702495e-005
2.264263956703871e-004	2.643985e+001	2.146807e+000	4.960867e-002	1.799887e+001	2.121782e-002	4.698126e-005
2.288214271852773e-004	2.643934e+001	2.160816e+000	4.812547e-002	1.799887e+001	2.121657e-002	4.674253e-005
2.326994961809881e-004	2.643851e+001	2.268830e+000	4.358900e-002	1.799886e+001	2.121480e-002	4.601665e-005
2.366994961808810e-004	2.643765e+001	2.478881e+000	3.650555e-002	1.799885e+001	2.121325e-002	4.489135e-005
2.406994961807740e-004	2.643680e+001	2.784856e+000	2.715032e-002	1.799885e+001	2.121199e-002	4.341988e-005
2.446994961806670e-004	2.643595e+001	3.165971e+000	1.608913e-002	1.799884e+001	2.121094e-002	4.170230e-005
2.486994961805600e-004	2.643509e+001	3.595777e+000	4.017001e-003	1.799884e+001	2.121004e-002	3.985601e-005
2.526994961804530e-004	2.643424e+001	4.045396e+000	-8.307531e-003	1.799884e+001	2.120919e-002	3.800236e-005
2.566994961803459e-004	2.643338e+001	4.485842e+000	-2.011007e-002	1.799883e+001	2.120832e-002	3.625755e-005
2.606994961802389e-004	2.643253e+001	4.890071e+000	-3.064902e-002	1.799883e+001	2.120735e-002	3.472515e-005
2.646994961801319e-004	2.643167e+001	5.234555e+000	-3.926218e-002	1.799883e+001	2.120621e-002	3.349107e-005
2.686994961800249e-004	2.643082e+001	5.506726e+000	-4.560471e-002	1.799882e+001	2.120486e-002	3.259294e-005
2.716399172646433e-004	2.643019e+001	5.654843e+000	-4.865788e-002	1.799882e+001	2.120372e-002	3.216414e-005
2.732878627207391e-004	2.642984e+001	5.712350e+000	-4.958954e-002	1.799881e+001	2.120301e-002	3.203403e-005
2.747913052594253e-004	2.642952e+001	5.746084e+000	-4.987479e-002	1.799881e+001	2.120230e-002	3.199451e-005
2.764224282745253e-004	2.642917e+001	5.763350e+000	-4.960918e-002	1.799881e+001	2.120149e-002	3.203209e-005
2.788149769779036e-004	2.642866e+001	5.751362e+000	-4.813113e-002	1.799880e+001	2.120018e-002	3.224014e-005
2.826891092582162e-004	2.642784e+001	5.656588e+000	-4.360465e-002	1.799879e+001	2.119785e-002	3.288006e-005
2.866891092581092e-004	2.642698e+001	5.469525e+000	-3.652709e-002	1.799878e+001	2.119518e-002	3.388958e-005
2.906891092580022e-004	2.642613e+001	5.191841e+000	-2.717710e-002	1.799877e+001	2.119225e-002	3.523998e-005
2.946891092578952e-004	2.642527e+001	4.837389e+000	-1.611948e-002	1.799876e+001	2.118910e-002	3.686118e-005
2.986891092577881e-004	2.642442e+001	4.426012e+000	-4.049011e-003	1.799874e+001	2.118578e-002	3.865973e-005
3.026891092576811e-004	2.642357e+001	3.982044e+000	8.275872e-003	1.799873e+001	2.118237e-002	4.052598e-005
3.066891092575741e-004	2.642271e+001	3.533119e+000	2.008075e-002	1.799872e+001	2.117893e-002	4.234035e-005
3.106891092574671e-004	2.642186e+001	3.108433e+000	3.062388e-002	1.799870e+001	2.117556e-002	4.398185e-005
3.146891092573600e-004	2.642101e+001	2.736588e+000	3.924280e-002	1.799869e+001	2.117234e-002	4.533769e-005
3.186891092572530e-004	2.642016e+001	2.436289e+000	4.559108e-002	1.799868e+001	2.116933e-002	4.634365e-005
3.216359882716180e-004	2.641953e+001	2.269866e+000	4.865494e-002	1.799867e+001	2.116726e-002	4.683113e-005
3.232829817969574e-004	2.641918e+001	2.204782e+000	4.958753e-002	1.799866e+001	2.116619e-002	4.697954e-005
3.247918712676601e-004	2.641886e+001	2.166291e+000	4.987440e-002	1.799866e+001	2.116527e-002	4.702469e-005
3.264226386796576e-004	2.641851e+001	2.146714e+000	4.960915e-002	1.799866e+001	2.116434e-002	4.698126e-005
3.288153190568188e-004	2.641800e+001	2.160575e+000	4.813084e-002	1.799865e+001	2.116309e-002	4.674331e-005
3.326896601256735e-004	2.641717e+001	2.268279e+000	4.360382e-002	1.799865e+001	2.116132e-002	4.601893e-005
3.366896601255665e-004	2.641632e+001	2.478097e+000	3.652595e-002	1.799864e+001	2.115978e-002	4.489450e-005
3.406896601254594e-004	2.641547e+001	2.783858e+000	2.717568e-002	1.799863e+001	2.115852e-002	4.342378e-005
