time	V(6)	V(10)	V(11)	V(vdd)	I(Rz)	Id(M1)
5.133142168650684e-003	2.717806e+001	4.190818e+000	-4.177819e-003	1.800630e+001	2.307380e-002	3.854894e-005
5.148258707033504e-003	2.717455e+001	4.208090e+000	-4.650820e-003	1.800626e+001	2.306506e-002	3.847813e-005
5.167109310420637e-003	2.717018e+001	4.229587e+000	-5.240027e-003	1.800622e+001	2.305417e-002	3.839001e-005
5.190032010464529e-003	2.716486e+001	4.255660e+000	-5.955440e-003	1.800616e+001	2.304092e-002	3.828312e-005
5.220578597255443e-003	2.715779e+001	4.290275e+000	-6.906610e-003	1.800609e+001	2.302328e-002	3.814122e-005
5.263372998980387e-003	2.714788e+001	4.338480e+000	-8.233937e-003	1.800599e+001	2.299859e-002	3.794361e-005
5.331840246712849e-003	2.713206e+001	4.414711e+000	-1.034005e-002	1.800584e+001	2.295915e-002	3.763114e-005
5.461891134640018e-003	2.710209e+001	4.555571e+000	-1.425586e-002	1.800554e+001	2.288447e-002	3.705378e-005
5.721992910494356e-003	2.704249e+001	4.819738e+000	-2.167453e-002	1.800494e+001	2.273585e-002	3.597120e-005
6.121992910494312e-003	2.695150e+001	5.178637e+000	-3.189155e-002	1.800404e+001	2.250886e-002	3.450066e-005
6.521992910494268e-003	2.686135e+001	5.466268e+000	-4.021135e-002	1.800314e+001	2.228374e-002	3.332247e-005
6.921992910494224e-003	2.677201e+001	5.671884e+000	-4.626326e-002	1.800224e+001	2.206045e-002	3.248050e-005
7.183605024427830e-003	2.671404e+001	5.756402e+000	-4.880189e-002	1.800166e+001	2.191539e-002	3.213418e-005
7.353141359549786e-003	2.667671e+001	5.782333e+000	-4.961256e-002	1.800129e+001	2.182191e-002	3.202777e-005
7.562974603261052e-003	2.663075e+001	5.785345e+000	-4.976496e-002	1.800083e+001	2.170674e-002	3.201536e-005
7.752532389390776e-003	2.658946e+001	5.760290e+000	-4.908922e-002	1.800041e+001	2.160319e-002	3.211797e-005
8.060538213260582e-003	2.652283e+001	5.663797e+000	-4.636669e-002	1.799974e+001	2.143593e-002	3.251321e-005
8.460538213260538e-003	2.643700e+001	5.457961e+000	-4.052037e-002	1.799888e+001	2.122023e-002	3.335609e-005
8.860538213260494e-003	2.635198e+001	5.167288e+000	-3.230104e-002	1.799803e+001	2.100631e-002	3.454574e-005
9.260538213260450e-003	2.626780e+001	4.801130e+000	-2.205211e-002	1.799718e+001	2.079430e-002	3.604376e-005
9.660538213260406e-003	2.618446e+001	4.379941e+000	-1.041758e-002	1.799634e+001	2.058423e-002	3.776651e-005
1.006053821326036e-002	2.610196e+001	3.928609e+000	1.871537e-003	1.799550e+001	2.037616e-002	3.961214e-005
1.046053821326032e-002	2.602028e+001	3.475240e+000	1.404306e-002	1.799468e+001	2.017014e-002	4.146551e-005
1.086053821326027e-002	2.593929e+001	3.040530e+000	2.558024e-002	1.799386e+001	1.996593e-002	4.324188e-005
1.102851853617182e-002	2.590551e+001	2.870451e+000	3.005801e-002	1.799352e+001	1.988078e-002	4.393658e-005
1.113324940657856e-002	2.588455e+001	2.771507e+000	3.265030e-002	1.799331e+001	1.982795e-002	4.434058e-005
1.118939963002541e-002	2.587334e+001	2.720695e+000	3.397894e-002	1.799320e+001	1.979970e-002	4.454801e-005
1.121560774394892e-002	2.586811e+001	2.697617e+000	3.458178e-002	1.799315e+001	1.978654e-002	4.464221e-005
1.123089620523476e-002	2.586507e+001	2.684366e+000	3.492775e-002	1.799312e+001	1.977888e-002	4.469629e-005
1.124366722277115e-002	2.586254e+001	2.673405e+000	3.521383e-002	1.799309e+001	1.977250e-002	4.474102e-005
1.125597946526069e-002	2.586011e+001	2.662924e+000	3.548736e-002	1.799306e+001	1.976638e-002	4.478380e-005
1.126894392331845e-002	2.585757e+001	2.651973e+000	3.577308e-002	1.799304e+001	1.975998e-002	4.482849e-005
1.128137350742020e-002	2.585516e+001	2.641557e+000	3.604480e-002	1.799302e+001	1.975392e-002	4.487099e-005
1.129438760868240e-002	2.585270e+001	2.630742e+000	3.632686e-002	1.799299e+001	1.974772e-002	4.491513e-005
1.130820490087037e-002	2.585019e+001	2.619362e+000	3.662361e-002	1.799297e+001	1.974140e-002	4.496157e-005
1.132401178888198e-002	2.584755e+001	2.606481e+000	3.695948e-002	1.799294e+001	1.973474e-002	4.501414e-005
1.134438216551703e-002	2.584477e+001	2.590127e+000	3.738588e-002	1.799291e+001	1.972774e-002	4.508090e-005
1.138050427060655e-002	2.584193e+001	2.561727e+000	3.812648e-002	1.799288e+001	1.972054e-002	4.519689e-005
1.142382983346302e-002	2.584220e+001	2.528549e+000	3.899195e-002	1.799288e+001	1.972112e-002	4.533248e-005
1.146331397132050e-002	2.584711e+001	2.499348e+000	3.975422e-002	1.799293e+001	1.973334e-002	4.545195e-005
1.151809153960692e-002	2.586221e+001	2.460677e+000	4.076486e-002	1.799308e+001	1.977106e-002	4.561041e-005
1.159694632809760e-002	2.589920e+001	2.408753e+000	4.212450e-002	1.799346e+001	1.986361e-002	4.582365e-005
1.171943780267570e-002	2.598689e+001	2.337382e+000	4.400051e-002	1.799433e+001	2.008319e-002	4.611776e-005
1.191628955309643e-002	2.617777e+001	2.245705e+000	4.642980e-002	1.799624e+001	2.056129e-002	4.649765e-005
1.218539104646688e-002	2.648509e+001	2.157469e+000	4.880630e-002	1.799932e+001	2.133122e-002	4.686648e-005
1.235535820392020e-002	2.668497e+001	2.128745e+000	4.961803e-002	1.800133e+001	2.183209e-002	4.698903e-005
1.256571188200217e-002	2.691097e+001	2.126889e+000	4.975924e-002	1.800359e+001	2.239846e-002	4.700204e-005
1.275698814555648e-002	2.706904e+001	2.155492e+000	4.910572e-002	1.800518e+001	2.279471e-002	4.688838e-005
1.301987866278975e-002	2.720744e+001	2.233375e+000	4.720617e-002	1.800657e+001	2.314178e-002	4.657182e-005
1.314092115880983e-002	2.723634e+001	2.283427e+000	4.596031e-002	1.800686e+001	2.321435e-002	4.636692e-005
1.321331662171565e-002	2.723694e+001	2.319799e+000	4.504588e-002	1.800686e+001	2.321597e-002	4.621752e-005
1.326218531698475e-002	2.723169e+001	2.346650e+000	4.436781e-002	1.800681e+001	2.320288e-002	4.610710e-005
1.329680607373285e-002	2.722576e+001	2.366835e+000	4.385666e-002	1.800675e+001	2.318807e-002	4.602404e-005
1.334304568331168e-002	2.721634e+001	2.394910e+000	4.314450e-002	1.800666e+001	2.316455e-002	4.590849e-005
1.336028534243972e-002	2.721257e+001	2.405693e+000	4.287063e-002	1.800662e+001	2.315513e-002	4.586412e-005
1.337532039361800e-002	2.720916e+001	2.415321e+000	4.262589e-002	1.800659e+001	2.314662e-002	4.582449e-005
1.338900168896440e-002	2.720603e+001	2.424216e+000	4.239964e-002	1.800656e+001	2.313879e-002	4.578789e-005
1.340455152817821e-002	2.720244e+001	2.434469e+000	4.213870e-002	1.800652e+001	2.312985e-002	4.574570e-005
1.341861016987545e-002	2.719919e+001	2.443867e+000	4.189941e-002	1.800649e+001	2.312173e-002	4.570703e-005
1.343296082661638e-002	2.719587e+001	2.453597e+000	4.165153e-002	1.800645e+001	2.311342e-002	4.566700e-005
1.345007646275320e-002	2.719190e+001	2.465375e+000	4.135130e-002	1.800641e+001	2.310350e-002	4.561855e-005
1.346978312419300e-002	2.718732e+001	2.479166e+000	4.099952e-002	1.800637e+001	2.309207e-002	4.556182e-005
1.349476270875893e-002	2.718152e+001	2.497005e+000	4.054412e-002	1.800631e+001	2.307759e-002	4.548845e-005
1.352708317860873e-002	2.717402e+001	2.520683e+000	3.993898e-002	1.800624e+001	2.305885e-002	4.539108e-005
1.357369230192540e-002	2.716321e+001	2.556047e+000	3.903376e-002	1.800613e+001	2.303187e-002	4.524568e-005
1.364886354162320e-002	2.714581e+001	2.616260e+000	3.748818e-002	1.800595e+001	2.298844e-002	4.499819e-005
1.379812617474840e-002	2.711139e+001	2.746578e+000	3.412486e-002	1.800561e+001	2.290254e-002	4.446280e-005
1.409665144099881e-002	2.704293e+001	3.036425e+000	2.657517e-002	1.800493e+001	2.273182e-002	4.327278e-005
1.449665144099877e-002	2.695192e+001	3.463479e+000	1.530659e-002	1.800402e+001	2.250497e-002	4.152043e-005
1.489665144099872e-002	2.686176e+001	3.915092e+000	3.193543e-003	1.800312e+001	2.228031e-002	3.966815e-005
1.529665144099868e-002	2.677250e+001	4.365829e+000	-9.120161e-003	1.800223e+001	2.205791e-002	3.782020e-005
1.569665144099863e-002	2.668413e+001	4.787528e+000	-2.086081e-002	1.800135e+001	2.183765e-002	3.609195e-005
1.609665144099859e-002	2.659664e+001	5.155185e+000	-3.129070e-002	1.800048e+001	2.161945e-002	3.458570e-005
